D4 00BBE00000 004 0000 000 0000 000 0000 0000 0100  D5
D5 80C3101040 004 0000 000 0000 000 0000 0000 0100  C3
C3 0400000000 004 0000 000 0000 000 0000 0000 0100  C4
C4 80DE801040 004 0000 000 0000 000 0000 0000 0100  DE
DE 4000000000 004 0000 000 0000 000 0000 0000 0100  DF
DF 8001101040 004 0000 000 0000 000 0000 0000 0100  01
01 00A0009004 004 0000 004 0000 000 0004 0000 0100  02
02 0104009420 005 0000 004 0200 000 0004 0000 0100  03
03 0002009001 005 0200 004 0200 000 0004 0000 0100  04
04 8109804002 005 0200 004 0200 000 0004 0000 0100  05
05 810C404002 005 0200 004 0200 000 0004 0000 0100  06
06 810C204002 005 0200 004 0200 000 0004 0000 0100  07
07 8078104002 005 0200 004 0200 000 0004 0000 0100  78
78 81A4084002 005 0200 004 0200 000 0004 0000 0100  79
79 8189044002 005 0200 004 0200 000 0004 0000 0100  7A
7A 817D024002 005 0200 004 0200 000 0004 0000 0100  7D
7D 8183014002 005 0200 004 0200 000 0004 0000 0100  7E
7E 8181801002 005 0200 004 0200 000 0004 0000 0100  7F
7F 0010C00000 005 0200 004 0200 000 0004 0000 0100  80
80 80C4101040 005 0200 004 0200 000 0004 0000 0100  C4
C4 80DE801040 005 0200 004 0200 000 0004 0000 0100  DE
DE 4000000000 005 0200 004 0200 000 0004 0000 0100  DF
DF 8001101040 005 0200 004 0200 000 0004 0000 0100  01
01 00A0009004 005 0200 005 0200 000 0005 0000 0100  02
02 0104009420 006 0200 005 EEFD 000 0005 0000 0100  03
03 0002009001 006 EEFD 005 EEFD 000 0005 0000 0100  04
04 8109804002 006 EEFD 005 EEFD 000 0005 0000 0100  09
09 800C404002 006 EEFD 005 EEFD 000 0005 0000 0100  0A
0A 800C204002 006 EEFD 005 EEFD 000 0005 0000 0100  0B
0B 8157104002 006 EEFD 005 EEFD 000 0005 0000 0100  0C
0C 8024084002 006 EEFD 005 EEFD 000 0005 0000 0100  0D
0D 0020011002 006 EEFD 005 EEFD 000 FFFD 0000 0100  0E
0E 811C044002 006 EEFD 005 EEFD 000 FFFD 0000 0100  1C
1C 8120024002 006 EEFD 005 EEFD 000 FFFD 0000 0100  20
20 8023014002 006 EEFD 005 EEFD 000 FFFD 0000 0100  23
23 0001009024 006 EEFD 005 0003 000 FFFD 0000 0100  24
24 8026804002 006 EEFD 005 0003 000 FFFD 0000 0100  25
25 814A404002 006 EEFD 005 0003 000 FFFD 0000 0100  4A
4A 8153204002 006 EEFD 005 0003 000 FFFD 0000 0100  53
53 0080009001 006 EEFD 003 0003 000 FFFD 0000 0100  54
54 0001009010 006 EEFD 003 0000 000 FFFD 0000 0100  55
55 0200000000 006 EEFD 003 0000 000 FFFD 0000 0100  56
56 80C4101040 006 EEFD 003 0000 000 FFFD 0000 0100  C4
C4 80DE801040 006 EEFD 003 0000 000 FFFD 0000 0100  DE
DE 4000000000 006 EEFD 003 0000 000 FFFD 0000 0100  DF
DF 8001101040 006 EEFD 003 0000 000 FFFD 0000 0100  01
01 00A0009004 006 EEFD 006 0000 000 0006 0000 0100  02
02 0104009420 007 EEFD 006 AEF9 000 0006 0000 0100  03
03 0002009001 007 AEF9 006 AEF9 000 0006 0000 0100  04
04 8109804002 007 AEF9 006 AEF9 000 0006 0000 0100  09
09 800C404002 007 AEF9 006 AEF9 000 0006 0000 0100  0C
0C 8024084002 007 AEF9 006 AEF9 000 0006 0000 0100  0D
0D 0020011002 007 AEF9 006 AEF9 000 FFF9 0000 0100  0E
0E 811C044002 007 AEF9 006 AEF9 000 FFF9 0000 0100  1C
1C 8120024002 007 AEF9 006 AEF9 000 FFF9 0000 0100  20
20 8023014002 007 AEF9 006 AEF9 000 FFF9 0000 0100  23
23 0001009024 007 AEF9 006 0000 000 FFF9 0000 0100  24
24 8026804002 007 AEF9 006 0000 000 FFF9 0000 0100  25
25 814A404002 007 AEF9 006 0000 000 FFF9 0000 0100  26
26 0080009001 007 AEF9 000 0000 000 FFF9 0000 0100  27
27 0100000000 007 AEF9 000 0000 000 FFF9 0000 0100  28
28 813C804002 007 AEF9 000 0000 000 FFF9 0000 0100  3C
3C 8143204002 007 AEF9 000 0000 000 FFF9 0000 0100  43
43 8146104002 007 AEF9 000 0000 000 FFF9 0000 0100  44
44 0010C09001 007 AEF9 000 0000 000 FFF9 0000 0100  45
45 80C4101040 007 AEF9 000 0000 000 FFF9 0000 0100  C4
C4 80DE801040 007 AEF9 000 0000 000 FFF9 0000 0100  DE
DE 4000000000 007 AEF9 000 0000 000 FFF9 0000 0100  DF
DF 8001101040 007 AEF9 000 0000 000 FFF9 0000 0100  01
01 00A0009004 007 AEF9 007 0000 000 0007 0000 0100  02
02 0104009420 008 AEF9 007 0700 000 0007 0000 0100  03
03 0002009001 008 0700 007 0700 000 0007 0000 0100  04
04 8109804002 008 0700 007 0700 000 0007 0000 0100  05
05 810C404002 008 0700 007 0700 000 0007 0000 0100  06
06 810C204002 008 0700 007 0700 000 0007 0000 0100  07
07 8078104002 008 0700 007 0700 000 0007 0000 0100  78
78 81A4084002 008 0700 007 0700 000 0007 0000 0100  79
79 8189044002 008 0700 007 0700 000 0007 0000 0100  89
89 8196024002 008 0700 007 0700 000 0007 0000 0100  96
96 819C014002 008 0700 007 0700 000 0007 0000 0100  9C
9C 81A2801002 008 0700 007 0700 000 0007 0000 0100  9D
9D 81A0401002 008 0700 007 0700 000 0007 0000 0100  9E
9E 0010E09410 008 0700 007 0700 000 0007 0001 0000  9F
9F 80C4101040 008 0700 007 0700 000 0007 0001 0000  C4
C4 80DE801040 008 0700 007 0700 000 0007 0001 0000  DE
DE 4000000000 008 0700 007 0700 000 0007 0001 0000  DF
DF 8001101040 008 0700 007 0700 000 0007 0001 0000  01
01 00A0009004 008 0700 008 0700 000 0008 0001 0000  02
02 0104009420 009 0700 008 0C00 000 0008 0001 0000  03
03 0002009001 009 0C00 008 0C00 000 0008 0001 0000  04
04 8109804002 009 0C00 008 0C00 000 0008 0001 0000  05
05 810C404002 009 0C00 008 0C00 000 0008 0001 0000  06
06 810C204002 009 0C00 008 0C00 000 0008 0001 0000  07
07 8078104002 009 0C00 008 0C00 000 0008 0001 0000  78
78 81A4084002 009 0C00 008 0C00 000 0008 0001 0000  A4
A4 81B5044002 009 0C00 008 0C00 000 0008 0001 0000  B5
B5 81BB024002 009 0C00 008 0C00 000 0008 0001 0000  B6
B6 81B9014002 009 0C00 008 0C00 000 0008 0001 0000  B7
B7 0001009010 009 0C00 008 0001 000 0008 0001 0000  B8
B8 8051101040 009 0C00 008 0001 000 0008 0001 0000  51
51 0088009208 009 0C00 7FF 0001 7FF 0008 0001 0000  52
52 8055101040 009 0C00 7FF 0001 7FF 0008 0001 0000  55
55 0200000000 009 0C00 7FF 0001 7FF 0008 0001 0000  56
56 80C4101040 009 0C00 7FF 0001 7FF 0008 0001 0000  C4
C4 80DE801040 009 0C00 7FF 0001 7FF 0008 0001 0000  DE
DE 4000000000 009 0C00 7FF 0001 7FF 0008 0001 0000  DF
DF 8001101040 009 0C00 7FF 0001 7FF 0008 0001 0000  01
01 00A0009004 009 0C00 009 0001 7FF 0009 0001 0000  02
02 0104009420 00A 0C00 009 DE12 7FF 0009 0001 0000  03
03 0002009001 00A DE12 009 DE12 7FF 0009 0001 0000  04
04 8109804002 00A DE12 009 DE12 7FF 0009 0001 0000  09
09 800C404002 00A DE12 009 DE12 7FF 0009 0001 0000  0A
0A 800C204002 00A DE12 009 DE12 7FF 0009 0001 0000  0C
0C 8024084002 00A DE12 009 DE12 7FF 0009 0001 0000  0D
0D 0020011002 00A DE12 009 DE12 7FF 0012 0001 0000  0E
0E 811C044002 00A DE12 009 DE12 7FF 0012 0001 0000  1C
1C 8120024002 00A DE12 009 DE12 7FF 0012 0001 0000  20
20 8023014002 00A DE12 009 DE12 7FF 0012 0001 0000  23
23 0001009024 00A DE12 009 001C 7FF 0012 0001 0000  24
24 8026804002 00A DE12 009 001C 7FF 0012 0001 0000  25
25 814A404002 00A DE12 009 001C 7FF 0012 0001 0000  4A
4A 8153204002 00A DE12 009 001C 7FF 0012 0001 0000  4B
4B 814E104002 00A DE12 009 001C 7FF 0012 0001 0000  4E
4E 0020009001 00A DE12 009 001C 7FF 001C 0001 0000  4F
4F 0001009004 00A DE12 009 000A 7FF 001C 0001 0000  50
50 0004009020 01C DE12 009 000A 7FF 001C 0001 0000  51
51 0088009208 01C DE12 7FE 000A 7FE 001C 0001 0000  52
52 8055101040 01C DE12 7FE 000A 7FE 001C 0001 0000  55
55 0200000000 01C DE12 7FE 000A 7FE 001C 0001 0000  56
56 80C4101040 01C DE12 7FE 000A 7FE 001C 0001 0000  C4
C4 80DE801040 01C DE12 7FE 000A 7FE 001C 0001 0000  DE
DE 4000000000 01C DE12 7FE 000A 7FE 001C 0001 0000  DF
DF 8001101040 01C DE12 7FE 000A 7FE 001C 0001 0000  01
01 00A0009004 01C DE12 01C 000A 7FE 001C 0001 0000  02
02 0104009420 01D DE12 01C AC01 7FE 001C 0001 0000  03
03 0002009001 01D AC01 01C AC01 7FE 001C 0001 0000  04
04 8109804002 01D AC01 01C AC01 7FE 001C 0001 0000  09
09 800C404002 01D AC01 01C AC01 7FE 001C 0001 0000  0C
0C 8024084002 01D AC01 01C AC01 7FE 001C 0001 0000  0D
0D 0020011002 01D AC01 01C AC01 7FE 0001 0001 0000  0E
0E 811C044002 01D AC01 01C AC01 7FE 0001 0001 0000  1C
1C 8120024002 01D AC01 01C AC01 7FE 0001 0001 0000  1D
1D 81E0014002 01D AC01 01C AC01 7FE 0001 0001 0000  1E
1E 0001009028 01D AC01 01C 07FF 7FE 0001 0001 0000  1F
1F 8024101040 01D AC01 01C 07FF 7FE 0001 0001 0000  24
24 8026804002 01D AC01 01C 07FF 7FE 0001 0001 0000  25
25 814A404002 01D AC01 01C 07FF 7FE 0001 0001 0000  26
26 0080009001 01D AC01 7FF 07FF 7FE 0001 0001 0000  27
27 0100000000 01D AC01 7FF 0001 7FE 0001 0001 0000  28
28 813C804002 01D AC01 7FF 0001 7FE 0001 0001 0000  3C
3C 8143204002 01D AC01 7FF 0001 7FE 0001 0001 0000  43
43 8146104002 01D AC01 7FF 0001 7FE 0001 0001 0000  44
44 0010C09001 01D AC01 7FF 0001 7FE 0001 0001 0000  45
